carat,cut,color,clarity,depth,table,price,volume
0.24,premium,g,vvs1,62.3,59.0,554,37.935802
0.24,premium,h,vvs1,61.2,58.0,554,38.746227
0.24,premium,h,vvs1,60.8,59.0,554,39.2352
0.24,premium,h,vvs2,60.7,58.0,554,40.44929
0.32,premium,i,si1,62.9,58.0,554,51.420914
0.7,ideal,e,si1,62.5,57.0,2757,116.39626
0.86,fair,e,si2,55.1,69.0,2757,143.71631
0.7,ideal,g,vs2,61.6,56.0,2757,113.1165
0.71,very good,e,vs2,62.4,57.0,2759,115.86517
0.78,very good,g,si2,63.8,56.0,2759,126.43722
0.7,good,e,vs2,57.5,58.0,2759,116.660706
0.7,good,f,vs1,59.4,62.0,2759,111.82465
0.96,fair,f,si2,66.3,62.0,2759,151.83746
0.73,very good,e,si1,61.6,59.0,2760,118.72814
0.8,premium,h,si1,61.5,58.0,2760,129.57169
0.75,very good,d,si1,63.2,56.0,2760,121.72751
0.75,premium,e,si1,59.9,54.0,2760,128.0208
0.74,ideal,g,si1,61.6,55.0,2760,121.8087
0.75,premium,g,vs2,61.7,58.0,2760,121.59868
0.8,ideal,i,vs1,62.9,56.0,2760,129.7082
0.75,ideal,g,si1,62.2,55.0,2760,123.58699
0.8,premium,g,si1,63.0,59.0,2760,126.48951
0.74,ideal,i,vvs2,62.3,55.0,2761,121.02055
0.81,ideal,f,si2,58.8,57.0,2761,135.05544
0.59,ideal,e,vvs2,62.0,55.0,2761,97.86488
0.8,ideal,f,si2,61.4,57.0,2761,131.23921
0.74,ideal,e,si2,62.2,56.0,2761,122.616646
0.9,premium,i,vs2,63.0,58.0,2761,145.8959
0.74,very good,g,si1,62.2,59.0,2762,119.72148
0.73,ideal,f,vs2,62.6,56.0,2762,119.23126
0.73,ideal,f,vs2,62.7,53.0,2762,120.727005
0.8,premium,f,si2,61.7,58.0,2762,130.71803
0.71,ideal,g,vs2,62.4,54.0,2762,117.95097
0.7,ideal,e,vs2,60.7,58.0,2762,115.18676
0.8,ideal,f,si2,59.9,59.0,2762,132.06013
0.71,ideal,d,si2,62.3,56.0,2762,116.06917
0.74,ideal,e,si1,62.3,54.0,2762,122.40667
0.7,very good,f,vs2,61.7,63.0,2762,109.79219
0.7,fair,f,vs2,64.5,57.0,2762,110.27153
0.7,fair,f,vs2,65.3,55.0,2762,114.98036
0.7,premium,f,vs2,61.6,60.0,2762,109.278915
0.91,premium,h,si1,61.4,56.0,2763,134.52202
0.61,very good,d,vvs2,59.6,57.0,2763,103.002335
0.91,fair,h,si2,64.4,57.0,2763,146.23491
0.91,fair,h,si2,65.7,60.0,2763,142.67282
0.77,ideal,h,vs2,62.0,56.0,2763,125.63606
0.71,very good,d,si1,63.6,58.0,2764,115.32671
0.71,ideal,d,si1,61.9,59.0,2764,114.8902
0.7,very good,e,vs2,62.6,60.0,2765,112.08809
0.77,very good,h,vs1,61.3,60.0,2765,125.23812
0.63,premium,e,vvs1,60.9,60.0,2765,103.243324
0.71,very good,f,vs1,60.1,62.0,2765,114.5945
0.71,premium,f,vs1,61.8,59.0,2765,115.09106
0.76,ideal,h,si1,61.2,57.0,2765,125.450386
0.64,ideal,g,vvs1,61.9,56.0,2766,105.46153
0.71,premium,g,vs2,60.9,57.0,2766,116.654854
0.71,premium,g,vs2,59.8,56.0,2766,119.77314
0.7,very good,d,vs2,61.8,55.0,2767,114.36338
0.7,very good,f,vs1,60.0,57.0,2767,119.161
0.71,ideal,d,si2,61.6,55.0,2767,117.0409
0.7,good,h,vvs2,62.1,64.0,2767,111.1355
0.71,very good,g,vs1,63.3,59.0,2768,109.00455
0.73,very good,d,si1,60.2,56.0,2768,120.46179
0.7,very good,d,si1,61.1,58.0,2768,112.86267
0.7,ideal,e,si1,60.9,57.0,2768,115.51681
0.71,premium,d,si2,61.7,59.0,2768,113.63871
0.74,ideal,i,si1,61.3,56.0,2769,121.75557
0.71,premium,d,vs2,62.5,60.0,2770,111.571686
0.73,premium,g,vs2,61.4,59.0,2770,119.547646
0.76,very good,f,si1,62.9,57.0,2770,122.78564
0.76,ideal,d,si2,62.4,57.0,2770,121.98458
0.71,ideal,f,si1,60.7,56.0,2770,117.46566
0.73,premium,g,vs2,60.7,58.0,2770,121.28007
0.73,premium,g,vs1,61.5,58.0,2770,118.18837
0.73,ideal,d,si2,59.9,57.0,2770,123.435555
0.73,premium,g,vs2,59.2,59.0,2770,121.2789
0.72,very good,h,vvs2,60.3,56.0,2771,118.89177
0.73,very good,f,si1,61.7,60.0,2771,120.63812
0.71,ideal,g,vs2,61.9,57.0,2771,117.70107
0.79,ideal,f,si2,61.9,55.0,2771,130.06003
0.73,very good,h,vvs1,60.4,59.0,2772,121.559
0.8,very good,f,si2,61.0,57.0,2772,133.0019
0.58,ideal,g,vvs1,61.5,55.0,2772,97.64092
0.58,ideal,f,vvs1,61.7,56.0,2772,94.45293
0.71,good,e,vs2,59.2,61.0,2772,117.99984
0.75,ideal,d,si2,61.3,56.0,2773,124.04339
0.7,premium,d,vs2,58.0,62.0,2773,114.67867
1.17,very good,j,i1,60.2,61.0,2774,194.6345
0.6,ideal,e,vs1,61.7,55.0,2774,98.591835
0.7,ideal,e,si1,62.7,55.0,2774,116.71945
0.83,good,i,vs2,64.6,54.0,2774,130.36841
0.74,very good,f,vs2,61.3,61.0,2775,120.92304
0.72,very good,g,vs2,63.7,56.4,2776,115.43986
0.71,premium,e,vs2,62.7,58.0,2776,116.71945
0.71,ideal,e,vs2,62.2,57.0,2776,115.51628
0.54,ideal,e,vvs2,61.6,56.0,2776,89.6427
0.54,ideal,e,vvs2,61.5,57.0,2776,89.02656
0.72,ideal,g,si1,61.8,56.0,2776,116.7595
0.72,ideal,g,si1,60.7,56.0,2776,118.95323
0.72,good,g,vs2,59.7,60.5,2776,117.53584
0.71,ideal,g,si1,60.5,56.0,2776,116.928
0.7,very good,d,vs1,62.7,58.0,2777,115.781525
0.71,premium,f,vs2,62.1,58.0,2777,114.08607
0.71,very good,f,vs2,62.8,57.0,2777,114.246086
0.71,good,f,vs2,63.8,58.0,2777,113.589035
0.71,good,f,vs2,57.8,60.0,2777,117.752205
0.7,ideal,e,vs2,62.1,55.0,2777,114.08607
0.7,premium,e,vs2,61.1,60.0,2777,111.74927
0.7,premium,e,si1,60.0,59.0,2777,115.19205
0.7,premium,e,si1,61.2,57.0,2777,113.58693
0.7,premium,e,si1,62.7,59.0,2777,113.00424
0.7,premium,e,si1,61.0,57.0,2777,113.26147
0.7,premium,e,si1,61.0,58.0,2777,116.04621
0.7,ideal,e,si1,61.4,57.0,2777,115.56864
0.72,premium,f,si1,61.8,61.0,2777,118.30663
0.7,very good,e,si1,59.9,63.0,2777,112.61376
0.7,premium,e,si1,61.3,58.0,2777,113.190475
0.7,premium,e,si1,60.5,58.0,2777,115.2569
0.7,good,e,vs2,64.1,59.0,2777,113.49935
0.98,fair,h,si2,67.9,60.0,2777,147.36348
0.78,premium,f,si1,62.4,58.0,2777,122.74482
0.7,very good,e,si1,63.2,60.0,2777,108.304565
0.52,ideal,f,vvs1,61.3,55.0,2778,86.42284
0.73,very good,h,vs2,60.8,56.0,2779,120.66024
0.74,ideal,e,si1,61.7,56.0,2779,121.60049
0.7,very good,f,vs2,63.6,57.0,2780,113.47347
0.77,premium,g,vs2,61.2,58.0,2780,126.65293
0.71,ideal,f,vs2,62.1,54.0,2780,115.013176
0.74,ideal,g,vs1,61.5,55.0,2780,122.227295
0.7,ideal,g,vs1,61.4,59.0,2780,112.787025
1.01,premium,f,i1,61.8,60.0,2781,160.12318
0.77,ideal,h,si1,62.2,56.0,2781,124.780655
0.78,ideal,h,si1,61.2,56.0,2781,129.07732
0.72,very good,h,vs1,60.6,63.0,2782,117.86861
0.53,very good,d,vvs2,57.5,64.0,2782,88.321465
0.76,ideal,g,vs2,61.3,56.0,2782,127.21699
0.7,good,e,vs1,57.2,62.0,2782,110.96345
0.7,premium,e,vs1,62.9,60.0,2782,109.28315
0.75,very good,d,si2,63.1,58.0,2782,120.22343
0.72,ideal,d,si1,60.8,57.0,2782,115.92001
0.72,premium,d,si1,62.7,59.0,2782,116.72124
0.7,premium,d,si1,62.8,60.0,2782,114.44972
0.84,fair,g,si1,55.1,67.0,2782,137.47444
0.75,premium,f,si1,61.4,59.0,2782,123.832794
0.52,ideal,f,if,62.2,55.0,2783,85.46689
0.72,very good,f,vs2,63.0,54.0,2784,117.373314
0.79,very good,h,vs1,63.7,56.0,2784,129.87
0.72,very good,f,vs2,63.6,58.0,2787,116.26148
0.51,ideal,f,vvs1,62.0,57.0,2787,83.68648
0.64,ideal,d,vs1,61.5,56.0,2787,104.847275
0.7,very good,h,vvs1,60.5,60.0,2788,115.2569
0.83,very good,i,vs1,61.1,60.0,2788,137.74045
0.76,ideal,i,vvs2,61.8,56.0,2788,124.30899
0.71,good,d,vs2,63.3,56.0,2788,114.686005
0.77,good,g,vs1,59.4,64.0,2788,124.75867
0.71,ideal,f,si1,62.5,55.0,2788,114.52833
1.01,fair,e,i1,64.5,58.0,2788,157.41544
1.01,premium,h,si2,62.7,59.0,2788,154.24542
0.77,good,f,si1,64.2,52.0,2789,124.70817
0.76,good,e,si1,63.7,54.0,2789,124.6752
0.76,premium,e,si1,60.4,58.0,2789,125.88999
0.76,premium,e,si1,61.8,58.0,2789,123.119774
1.05,very good,j,si2,63.2,56.0,2789,171.20944
0.81,ideal,g,si2,61.6,56.0,2789,132.39609
0.7,ideal,e,si1,61.6,56.0,2789,116.1017
0.55,ideal,g,if,60.9,57.0,2789,90.10849
0.81,good,g,si2,61.0,61.0,2789,129.5134
0.63,premium,e,vvs2,62.1,57.0,2789,100.206184
0.63,premium,e,vvs1,60.9,60.0,2789,103.243324
0.77,premium,h,vs1,61.3,60.0,2789,125.23812
1.05,fair,j,si2,65.8,59.0,2789,167.99712
0.64,ideal,g,if,61.3,56.0,2790,105.41401
0.76,premium,i,vvs1,58.8,59.0,2790,125.0964
0.83,ideal,f,si2,62.3,55.0,2790,136.94296
0.71,premium,f,vs1,60.1,62.0,2790,114.5945
0.71,premium,f,vs1,61.8,59.0,2790,115.09106
0.87,very good,i,si1,63.6,55.8,2791,143.2945
0.73,ideal,e,si1,62.2,56.0,2791,118.774376
0.71,premium,e,si1,59.2,59.0,2792,118.20675
0.71,premium,e,si1,61.8,59.0,2792,116.02349
0.71,ideal,e,si1,61.3,55.0,2792,116.17548
0.7,premium,f,vs1,62.1,60.0,2792,113.8831
0.7,premium,f,vs1,60.7,60.0,2792,116.3225
0.76,premium,h,vvs2,59.6,57.0,2792,121.560425
0.7,ideal,f,vs1,62.2,56.0,2792,115.53971
0.79,very good,g,si1,60.6,57.0,2793,132.27162
0.7,very good,e,vs2,62.9,57.0,2793,114.973274
0.7,good,e,vs2,64.1,55.0,2793,114.422554
0.76,ideal,i,vs2,61.3,56.0,2793,125.23703
0.73,ideal,h,vs2,62.7,55.0,2793,118.60992
0.79,very good,e,si1,63.2,56.0,2794,128.83327
0.71,very good,e,vs2,60.7,56.0,2795,119.36413
0.81,premium,i,vvs2,61.9,60.0,2795,126.06266
0.81,ideal,f,si2,62.6,55.0,2795,131.25351
0.72,good,f,vs1,60.7,60.0,2795,114.25814
0.72,premium,d,si2,62.0,60.0,2795,115.41709
0.72,premium,i,if,63.0,57.0,2795,117.37438
0.81,premium,h,vs2,58.0,59.0,2795,135.0249
0.72,premium,g,vs2,62.9,57.0,2795,115.90071
1.0,premium,i,si2,58.2,60.0,2795,165.82176
0.73,good,e,si1,63.2,58.0,2796,118.85184
0.81,very good,h,si2,61.3,59.0,2797,130.65982
0.81,very good,e,si1,60.3,60.0,2797,135.8891
0.71,premium,d,si1,62.7,60.0,2797,115.58125
0.71,premium,d,si1,61.3,58.0,2797,115.9752
0.71,premium,d,si1,61.6,60.0,2797,114.96531
0.57,ideal,f,vvs2,61.9,55.0,2797,94.56339
0.51,ideal,d,vvs1,61.7,56.0,2797,83.74886
0.72,ideal,g,vs2,61.9,58.0,2797,116.7595
0.74,ideal,h,vs1,61.8,58.0,2797,120.01485
0.74,ideal,h,vs1,61.6,56.0,2797,121.05484
0.7,fair,g,vvs1,58.8,66.0,2797,117.91976
0.8,premium,f,si2,61.0,57.0,2797,133.0019
1.01,fair,e,si2,67.4,60.0,2797,154.66644
0.8,very good,h,vs2,63.4,60.0,2797,128.17038
0.77,ideal,i,vs1,61.5,59.0,2798,125.58395
0.83,very good,e,si2,58.0,62.0,2799,139.66187
0.82,ideal,f,si2,62.4,54.0,2799,134.41336
0.78,ideal,d,si1,61.9,57.0,2799,126.06266
0.6,very good,g,if,61.6,56.0,2800,99.32012
0.9,good,i,si2,62.2,59.0,2800,140.5624
0.7,premium,e,vs1,62.2,58.0,2800,110.936
0.9,very good,i,si2,61.3,56.0,2800,146.06859
0.83,ideal,g,si1,62.3,57.0,2800,136.93619
0.83,ideal,g,si1,61.8,57.0,2800,136.89188
0.83,very good,h,si1,62.5,59.0,2800,133.96306
0.74,premium,g,vs1,62.9,60.0,2800,117.04548
0.79,ideal,i,vs1,61.8,59.0,2800,129.27208
0.61,ideal,g,if,62.3,56.0,2800,100.32196
0.76,fair,g,vs1,59.0,70.0,2800,118.200516
0.96,ideal,f,i1,60.7,55.0,2801,158.427
0.73,ideal,f,vs2,62.5,55.0,2801,120.60288
0.73,premium,f,vs2,62.7,58.0,2801,117.86688
0.75,ideal,h,si1,60.4,57.0,2801,126.880646
0.71,premium,f,vs2,62.1,58.0,2801,114.08607
0.71,good,f,vs2,57.8,60.0,2801,117.752205
0.71,good,f,vs2,63.8,58.0,2801,113.589035
0.71,premium,f,vs2,62.8,57.0,2801,114.246086
1.04,premium,g,i1,62.2,58.0,2801,165.6344
1.0,premium,j,si2,62.3,58.0,2801,162.75415
0.87,very good,g,si2,59.9,58.0,2802,143.45697
0.53,ideal,f,if,61.9,54.0,2802,88.7922
0.72,premium,e,vs2,63.0,55.0,2802,116.610016
0.72,premium,f,vs1,62.4,58.0,2802,119.63159
0.7,very good,f,vs2,62.9,58.0,2803,112.92373
0.74,very good,e,si1,63.5,56.0,2803,121.63864
0.71,ideal,g,vs2,61.3,56.0,2803,115.24207
0.73,ideal,e,si1,60.6,54.0,2803,122.11147
0.7,good,g,vs1,65.1,58.0,2803,112.82185
0.71,premium,f,vs2,62.6,58.0,2803,115.05564
0.71,premium,f,vs2,58.0,62.0,2803,114.88113
0.71,premium,g,vs1,62.4,61.0,2803,114.00569
0.77,premium,g,vs2,61.3,57.0,2803,126.2236
0.71,premium,g,vs2,59.9,60.0,2803,116.32724
0.78,premium,g,vs2,60.8,58.0,2803,130.59775
0.71,very good,g,vs1,63.5,55.0,2803,114.6014
0.91,ideal,d,si2,62.2,57.0,2803,147.03728
0.71,very good,e,vs2,63.8,58.0,2804,114.513115
0.71,very good,e,vs2,64.0,57.0,2804,116.70015
0.8,very good,e,si2,62.5,56.0,2804,129.66576
0.7,very good,d,si1,62.3,58.0,2804,116.06917
0.72,ideal,f,vs1,61.7,57.0,2804,117.57528
0.72,very good,f,vs1,62.2,58.0,2804,116.67899
0.82,ideal,h,vs2,61.5,56.0,2804,135.93178
0.7,ideal,d,si1,61.0,59.0,2804,112.34472
0.72,ideal,d,si1,62.2,56.0,2804,118.56887
0.72,ideal,d,si1,61.5,54.0,2804,119.138954
0.9,fair,i,si1,67.3,59.0,2804,137.13954
0.74,premium,f,vs2,61.7,58.0,2805,121.388664
0.74,premium,f,vs2,61.9,56.0,2805,119.80827
0.73,ideal,e,si2,61.8,58.0,2805,120.01485
0.57,fair,e,vvs1,58.7,66.0,2805,91.628
0.73,premium,f,vs2,62.5,57.0,2805,117.33449
0.72,ideal,g,vs2,62.8,56.0,2805,117.45761
0.74,fair,f,vs2,61.1,68.0,2805,118.13145
0.82,good,g,vs2,64.0,57.0,2805,131.80406
0.81,very good,g,si1,62.5,60.0,2806,129.10056
0.75,very good,h,vvs1,60.6,58.0,2806,122.8734
0.7,ideal,f,si1,61.6,55.0,2806,115.89977
0.71,very good,f,vs1,62.2,58.0,2807,114.6082
0.71,very good,f,vs1,60.0,57.0,2807,121.285126
0.93,premium,j,si2,61.9,57.0,2807,147.6092
0.8,very good,h,vs2,62.8,57.0,2808,128.3593
0.7,very good,f,vs1,62.0,57.0,2808,113.35948
1.0,fair,g,i1,66.4,59.0,2808,152.68361
0.75,very good,g,vs2,63.4,56.0,2808,121.09679
0.58,ideal,e,vvs2,60.9,56.0,2808,96.94179
0.73,very good,d,si1,63.1,57.0,2808,118.11197
0.81,very good,f,si1,63.1,59.0,2809,124.3084
0.81,premium,d,si2,59.2,57.0,2809,134.31908
0.71,premium,f,si1,60.7,54.0,2809,119.56817
1.2,fair,f,i1,64.6,56.0,2809,194.07838
0.7,very good,f,vs1,61.8,56.0,2810,112.3185
0.7,very good,f,vs1,59.9,60.0,2810,117.26486
0.74,ideal,d,si2,61.7,55.0,2810,122.35859
0.7,good,f,vs1,62.8,61.0,2810,109.679436
0.8,good,g,si1,62.7,57.0,2810,127.78912
0.75,very good,f,si1,63.4,58.0,2811,119.92781
0.83,very good,d,si1,63.5,54.0,2811,134.85197
1.0,fair,j,vs2,65.7,59.0,2811,149.45192
0.99,fair,i,si2,68.1,56.0,2811,157.30426
0.7,very good,g,vs1,63.0,60.0,2812,110.89425
0.7,very good,f,vs2,59.5,58.0,2812,116.04938
0.7,good,e,si1,63.5,59.0,2812,106.25895
0.7,very good,f,vs2,61.7,58.0,2812,111.80111
0.32,premium,i,si1,62.7,58.0,554,51.776634
0.32,premium,i,si1,62.8,58.0,554,52.20413
0.32,ideal,i,si1,62.4,57.0,554,51.705837
0.32,premium,i,si1,61.0,59.0,554,51.10487
0.32,very good,i,si1,63.1,56.0,554,52.827503
0.32,ideal,i,si1,60.7,57.0,554,53.34498
0.3,premium,h,si1,60.9,59.0,554,48.44353
0.3,premium,h,si1,60.1,55.0,554,50.993713
0.3,premium,h,si1,62.9,58.0,554,48.634495
0.3,very good,h,si1,63.3,56.0,554,49.642593
0.3,good,h,si1,63.8,55.0,554,48.308403
0.3,ideal,h,si1,62.9,57.0,554,48.111797
0.3,very good,h,si1,63.4,60.0,554,48.359478
0.32,good,i,si1,63.9,55.0,554,52.604275
0.33,ideal,h,si2,61.4,56.0,554,68.53292
0.29,very good,e,vs1,61.9,55.0,555,49.296185
0.29,very good,e,vs1,62.4,55.0,555,46.9455
0.31,very good,f,si1,61.8,58.0,555,50.36256
0.34,ideal,h,vs2,61.5,56.0,555,55.5174
0.34,ideal,h,vs2,60.4,57.0,555,57.056454
0.34,ideal,i,vs1,61.8,55.0,555,56.293884
0.34,ideal,i,vs1,62.0,56.0,555,57.078
0.3,ideal,g,vs1,62.3,56.0,555,49.55293
0.29,ideal,f,vs1,61.6,56.0,555,48.47199
0.35,ideal,g,si1,60.6,56.0,555,57.850895
0.43,very good,e,i1,58.4,62.0,555,71.630005
0.32,very good,f,vs2,61.4,58.0,556,52.151577
0.36,ideal,i,vs2,61.9,56.0,556,58.508797
0.3,ideal,g,vs2,62.0,56.0,556,48.954643
0.26,ideal,e,vs1,61.5,57.0,556,42.464016
0.7,very good,f,vs2,62.3,58.0,2812,114.20323
0.7,very good,f,vs2,60.9,61.0,2812,111.82236
0.71,ideal,d,si1,62.4,57.0,2812,115.8666
0.99,fair,j,si1,55.0,61.0,2812,164.94643
0.73,premium,e,vs2,58.6,60.0,2812,120.64605
0.51,ideal,f,vvs1,62.0,57.0,2812,83.68648
0.91,premium,g,si2,59.8,58.0,2813,149.3938
0.84,very good,e,si1,63.4,55.0,2813,135.303
0.91,good,i,vs2,64.3,58.0,2813,143.69356
0.76,premium,e,si1,62.2,59.0,2814,123.589165
0.76,ideal,e,si1,61.7,57.0,2814,124.52075
0.75,premium,e,si1,61.1,59.0,2814,121.96476
0.55,very good,d,vvs1,61.5,56.0,2815,89.02558
0.76,very good,f,si2,58.5,62.0,2815,124.381165
0.74,premium,g,vs1,61.7,58.0,2815,120.43084
0.7,ideal,h,si1,60.4,56.0,2815,116.59218
0.7,ideal,h,si1,61.4,56.0,2815,115.56864
0.7,ideal,h,si1,61.5,55.0,2815,117.44552
0.7,ideal,h,si1,61.4,56.0,2815,116.50552
0.9,fair,j,vs2,65.0,56.0,2815,144.6894
0.95,fair,f,si2,56.0,60.0,2815,159.08125
0.89,premium,h,si2,60.2,59.0,2815,146.63925
0.72,premium,e,vs2,58.3,58.0,2815,123.04898
0.96,fair,e,si2,53.1,63.0,2815,158.87848
1.02,premium,g,i1,60.3,58.0,2815,167.7455
0.78,very good,i,vvs2,61.4,56.0,2816,127.99877
0.61,ideal,g,vvs2,60.1,57.0,2816,101.52825
0.71,good,d,vs1,63.4,55.0,2816,114.27682
0.78,premium,f,si1,61.5,59.0,2816,127.56307
0.87,ideal,h,si2,62.7,56.0,2816,145.37907
0.83,ideal,h,si1,62.5,55.0,2816,136.26239
0.71,premium,e,si1,61.3,56.0,2817,116.91148
0.71,ideal,i,vvs2,60.2,56.0,2817,121.42352
0.71,ideal,e,vs2,62.7,57.0,2817,113.00529
0.71,premium,e,vs2,62.3,58.0,2817,113.484215
0.63,ideal,f,vvs2,61.5,56.0,2817,102.24365
0.71,premium,e,si1,59.2,59.0,2817,118.20675
0.71,premium,e,si1,61.8,59.0,2817,116.02349
0.71,ideal,e,si1,61.3,55.0,2817,116.17548
0.71,premium,e,si1,61.4,58.0,2817,116.70921
0.9,ideal,j,vs2,62.8,55.0,2817,148.18495
0.71,good,e,si1,62.8,64.0,2817,108.584
0.7,premium,e,vs2,62.4,61.0,2818,112.16761
0.7,premium,e,vs2,59.3,60.0,2818,112.93716
0.7,premium,e,vs2,63.0,60.0,2818,111.80736
1.0,premium,h,i1,61.3,60.0,2818,161.47467
0.86,premium,f,si2,59.3,62.0,2818,147.55582
0.8,ideal,h,si1,61.0,57.0,2818,134.0256
0.7,ideal,e,vs1,62.9,57.0,2818,112.404205
0.7,premium,e,vs1,59.6,57.0,2818,120.59355
0.7,premium,f,vs2,61.8,60.0,2818,112.320595
0.7,premium,e,vs1,62.7,57.0,2818,113.72495
1.0,fair,h,si2,65.3,62.0,2818,158.30727
0.72,very good,g,vs1,63.8,58.0,2819,115.647064
0.72,ideal,h,vs1,62.3,56.0,2819,118.36231
0.7,good,f,vs1,59.7,63.0,2819,115.05889
0.86,good,f,si2,64.3,60.0,2819,136.04733
0.71,ideal,g,vs1,62.9,58.0,2820,114.973274
0.75,ideal,e,si1,62.0,57.0,2821,120.351166
0.73,premium,e,vs2,61.6,59.0,2821,117.03983
0.53,ideal,e,vvs1,61.9,55.0,2821,87.23624
0.73,premium,e,si1,61.3,58.0,2821,119.21184
0.73,good,e,si1,63.6,57.0,2821,118.35251
0.73,premium,e,si1,59.6,61.0,2821,121.55832
0.73,premium,e,si1,62.2,59.0,2821,116.674
0.73,premium,d,si1,61.7,55.0,2821,122.35968
0.73,very good,e,si1,63.2,58.0,2821,118.85184
0.7,premium,e,vs1,60.8,60.0,2822,114.05839
0.72,premium,e,vs2,60.3,59.0,2822,118.890724
